,Symbol,Name,Unnamed: 2,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %,52 Wk Range
98,WYNN,"Wynn Resorts, Limited",,116.40 +3.88 (+3.45%),3.88,+3.45%,557642,1.9M,12.103B,34.44,+13.40%,65.25 134.23
99,BC,Brunswick Corporation,,62.46 +2.20 (+3.64%),2.2,+3.64%,135566,820728,4.08B,70.97,-27.71%,41.00 87.65
100,C,Citigroup Inc.,,99.56 +3.46 (+3.60%),3.46,+3.60%,14.812M,14.563M,183.28B,14.71,+53.42%,55.51 105.59
101,LVS,Las Vegas Sands Corp.,,48.05 +1.58 (+3.40%),1.58,+3.40%,2.893M,5.11M,32.985B,24.27,-8.79%,30.18 58.05
102,CHA,Chagee Holdings Limited,,16.64 +0.54 (+3.35%),0.54,+3.35%,515384,1.085M,3.091B,22.19,-50.37%,15.65 41.80
103,PRIM,Primoris Services Corporation,,141.08 +4.60 (+3.37%),4.6,+3.37%,263055,883375,7.62B,32.14,+124.62%,49.10 142.84
104,OSCR,"Oscar Health, Inc.",,21.06 +0.66 (+3.24%),0.66,+3.24%,11.921M,22.709M,5.445B,--,+17.44%,11.20 23.80
105,DK,"Delek US Holdings, Inc.",,35.22 +1.13 (+3.31%),1.13,+3.31%,378554,2.037M,2.119B,--,+97.17%,11.03 35.96
106,VIK,Viking Holdings Ltd,,61.24 +1.94 (+3.27%),1.94,+3.27%,644726,2.416M,27.155B,32.40,+54.03%,31.79 65.37
107,INDV,Indivior PLC,,24.69 +0.82 (+3.44%),0.82,+3.44%,854886,2.835M,3.081B,30.48,+198.38%,7.62 25.10
108,AAON,"AAON, Inc.",,105.29 +3.33 (+3.27%),3.33,+3.27%,183880,1.241M,8.584B,71.63,-8.14%,62.00 144.07
109,PCT,"PureCycle Technologies, Inc.",,13.60 +0.43 (+3.26%),0.43,+3.26%,2.051M,2.749M,2.449B,--,+35.35%,5.40 17.37
110,Z,"Zillow Group, Inc.",,72.05 +2.29 (+3.28%),2.29,+3.28%,875166,2.88M,17.293B,--,+10.07%,57.00 93.88
111,ARM,Arm Holdings plc,,177.35 +5.40 (+3.14%),5.4,+3.14%,8.034M,4.971M,187.855B,272.84,+14.12%,80.00 182.88
112,COF,Capital One Financial Corporation,,214.47 +6.86 (+3.30%),6.86,+3.30%,1.67M,3.524M,137.157B,612.77,+32.46%,143.22 232.45
113,GRBK,"Green Brick Partners, Inc.",,64.86 +2.02 (+3.22%),2.02,+3.22%,87904,261796,2.826B,8.28,-22.97%,50.57 84.66
114,AMD,"Advanced Micro Devices, Inc.",,223.67 +7.25 (+3.35%),7.25,+3.35%,44.661M,61.822M,362.98B,133.93,+38.16%,76.48 240.10
115,ZG,"Zillow Group, Inc.",,69.11 +2.14 (+3.20%),2.14,+3.20%,214897,612750,17.279B,--,+8.97%,55.08 90.22
116,SGRY,"Surgery Partners, Inc.",,20.42 +0.63 (+3.18%),0.63,+3.18%,331944,1.483M,2.618B,--,-37.92%,18.87 33.37
117,BHF,"Brighthouse Financial, Inc.",,49.54 +1.50 (+3.12%),1.5,+3.12%,254217,1.111M,2.831B,5.66,+1.46%,42.07 64.12
118,PAY,"Paymentus Holdings, Inc.",,29.51 +0.86 (+3.00%),0.86,+3.00%,324475,809167,3.697B,67.07,+21.76%,22.40 40.43
119,EXK,Endeavour Silver Corp.,,8.77 +0.27 (+3.24%),0.27,+3.24%,10.408M,12.917M,2.546B,--,+92.74%,2.95 8.87
120,PCG,PG&E Corporation,,16.47 +0.49 (+3.10%),0.49,+3.10%,13.592M,25.664M,36.187B,15.25,-21.75%,12.97 21.72
121,TBBK,"The Bancorp, Inc.",,78.75 +2.39 (+3.12%),2.39,+3.12%,121218,706101,3.627B,16.93,+33.38%,40.51 80.76
122,EIX,Edison International,,55.30 +1.65 (+3.08%),1.65,+3.08%,1.25M,3.433M,21.281B,8.12,-36.93%,47.73 88.65
123,SVV,"Savers Value Village, Inc.",,13.17 +0.40 (+3.13%),0.4,+3.13%,293578,1.364M,2.049B,65.85,+25.81%,6.48 13.89
124,FUN,Six Flags Entertainment Corporation,,21.22 +0.62 (+3.01%),0.62,+3.01%,683246,4.082M,2.149B,--,-47.44%,20.00 49.77
125,TEAM,Atlassian Corporation,,154.03 +4.64 (+3.11%),4.64,+3.11%,1.555M,2.55M,40.407B,--,-21.74%,144.32 326.00
126,CCJ,Cameco Corporation,,95.04 +2.89 (+3.14%),2.89,+3.14%,3.779M,4.531M,41.379B,109.24,+78.21%,35.00 95.15
127,ENVA,"Enova International, Inc.",,109.21 +3.23 (+3.05%),3.23,+3.05%,53530,305471,2.732B,11.64,+22.69%,79.41 130.34
128,HUBG,"Hub Group, Inc.",,34.69 +1.02 (+3.01%),1.02,+3.01%,142233,613334,2.123B,21.02,-23.93%,30.75 53.21
129,UEC,Uranium Energy Corp.,,15.96 +0.64 (+4.18%),0.64,+4.18%,11.392M,16.233M,7.711B,--,+108.72%,3.85 16.40
130,,,,,,,,,,,,
